ten,gia_ban,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh_,thong_tin_mo_ta
Xe Kia Morning Si AT 2017,328 Triệu,Lắp ráp trong nước,Xe đã dùng,Hatchback,36757 Km,Nâu,Xám,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1248 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 2 1.5 AT 2016,425 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,65742 Km,Xanh,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Mazda 6 Premium 2.0 AT 2021,796 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,10500 Km,Xanh,Xám,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda CX5 2.5 AT 2WD 2018,813 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,69741 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2488 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Kia Rio 1.4 AT 2015,418 Triệu,Nhập khẩu,Xe đã dùng,Hatchback,90509 Km,Đỏ,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1396 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Kia Cerato 1.6 AT Luxury 2019,599 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,58269 Km,Đen,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1591 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 3 S 1.6 AT 2014,409 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,68101 Km,Vàng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1584 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Honda Jazz RS 2019,518 Triệu,Nhập khẩu,Xe đã dùng,Hatchback,23863 Km,Cam,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1497 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Toyota Vios 1.5G 2020,548 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,20711 Km,Đỏ,Kem,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 2 Luxury 2019,505 Triệu,Nhập khẩu,Xe đã dùng,Sedan,36000 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Honda CRV 2.4 AT 2014,638 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,126859 Km,Bạc,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 2 Premium 2018,489 Triệu,Nhập khẩu,Xe đã dùng,Sedan,42311 Km,Đỏ,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Nissan Juke 1.6 AT 2015,668 Triệu,Nhập khẩu,Xe đã dùng,SUV,57445 Km,Đỏ,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1598 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Kia Rio 1.4 AT 2015,425 Triệu,Nhập khẩu,Xe đã dùng,Hatchback,45763 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1396 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Kia Carens SXAT 2013,365 Triệu,Lắp ráp trong nước,Xe đã dùng,Crossover,68305 Km,Vàng,Đen,5 cửa,7 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe VinFast Lux SA 2.0 Plus 2.0 AT 2021,1 Tỷ 96 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,4927 Km,Trắng,Nâu,5 cửa,7 chỗ,Xăng,,Số tự động,RFD - Dẫn động cầu sau, L/100Km,1997 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 3 1.5 AT 2018,589 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,49113 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Honda CRV 2.4 AT 2013,588 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,82023 Km,Bạc,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Kia Morning Van 1.0 AT 2015,265 Triệu,Nhập khẩu,Xe đã dùng,Van/Minivan,47256 Km,Bạc,Xám,5 cửa,2 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Ford Fiesta S 1.0AT Ecoboost 2016,395 Triệu,Lắp ráp trong nước,Xe đã dùng,Hatchback,58197 Km,Đỏ,Nhiều màu,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda CX5 2.5 AT AWD 2018,785 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,46125 Km,Xanh,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,AWD - 4 bánh toàn thời gian, L/100Km,2488 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
