ten,gia_ban,xuat_xu,tinh_trang,dong_xe,so_km_da_di,mau_ngoai_that,mau_noi_that,so_cua,so_cho_ngoi,nhien_lieu,he_thong_nap_nhien_lieu,hop_so,dan_dong,tieu_thu_nhien_lieu,dung_tich_xi_lanh_,thong_tin_mo_ta
Xe Ford EcoSport Titanium 1.5L AT 2019,565 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,31949 Km,Đỏ,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1498 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 3 1.5L Luxury 2019,619 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,35276 Km,Đỏ,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 3 1.5L Luxury 2020,676 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,31445 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Honda Civic RS 1.5 AT 2019,753 Triệu,Nhập khẩu,Xe đã dùng,Sedan,28580 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1498 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Ford Fiesta S 1.0AT Ecoboost 2016,409 Triệu,Lắp ráp trong nước,Xe đã dùng,Hatchback,51495 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,998 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Honda CRV 2.4 AT 2010,399 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,126920 Km,Đen,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc),"Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Honda City Top 1.5AT 2017,488 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,56828 Km,Đỏ,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,0 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Mazda 2 1.5 AT 2016,426 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,40106 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Toyota Fortuner 2.5G 2015,685 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,94769 Km,Bạc,Kem,5 cửa,8 chỗ,Diesel,,Số tay,RFD - Dẫn động cầu sau, L/100Km,2494 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Toyota Corolla altis 2.0V Sport 2018,668 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,38227 Km,Nâu,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1987 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Toyota Vios 1.5G 2020,553 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,20569 Km,Vàng,Kem,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Honda City 1.5 2020,515 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,20802 Km,Đen,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1497 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Kia Cerato 2.0 AT Premium 2019,638 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,36985 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1999 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Honda CRV 2.4 AT 2011,438 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,125986 Km,Xám,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,2354 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Mazda 3 1.5 AT 2018,568 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,49020 Km,Ghi,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Kia Cerato 1.6 AT 2018,531 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,10868 Km,Trắng,Kem,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1591 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Toyota Vios 1.5E CVT 2018,446 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,52560 Km,Trắng,Kem,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Mazda 3 1.5 AT 2016,489 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,52160 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Kia Rondo DAT 2016,500 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,60465 Km,Trắng,Đen,5 cửa,7 chỗ,Diesel,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1685 (cc),"Anycar Việt Nam bán: 
Kia Rondo DAT 1.7AT 2016 màu trắng. 
- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Mazda 3 1.5 AT 2018,585 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,63688 Km,Trắng,Đen,4 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1496 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
Xe Ford EcoSport Titanium 1.5L AT 2016,439 Triệu,Lắp ráp trong nước,Xe đã dùng,SUV,66369 Km,Đỏ,Đen,5 cửa,5 chỗ,Xăng,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,1498 (cc),"Anycar Việt Nam bán xe: 
Ford Ecosport 1.5AT Titanium 2016- Màu đỏ  
Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản."
Xe Honda City Top 1.5AT 2017,488 Triệu,Lắp ráp trong nước,Xe đã dùng,Sedan,56828 Km,Đỏ,Đen,4 cửa,5 chỗ,-,,Số tự động,FWD - Dẫn động cầu trước, L/100Km,0 (cc),"- Xe đạt 5 tiêu chí vàng và đạt 143 hạng mục kiểm tra theo tiêu chuẩn, được cam kết bằng văn bản và có đóng dấu đỏ của Anycar Việt Nam: không đâm đụng ảnh hưởng đến khung gầm kết cấu; không ngập nước, thủy kích; động cơ nguyên bản; hộp số nguyên bản; hồ sơ hợp pháp lý an toàn, sẵn sàng sang tên. 
- Hoàn tiền ngay 100% tiền nếu trong vòng 7 ngày phát hiện sai cam kết. 
- Tặng thẻ thành viên 2.3 triệu 
- Xe bán ra có bảo hành 3 tháng hoặc 6 tháng: động cơ + hộp số tại xưởng dịch vụ Anycar Long Biên theo chuẩn Nhật Bản"
